"CLA_GR_UID","THE_TE_UID","TERM","INDEX_TERM","SCOPE_NOTE","STATUS","IMAGE_EXISTS"
1,71708,"WATCH HOUSE","Y","A house or hut for a nightwatchman; including parish watch houses in churchyards and private watch houses, eg. in dockyards, factories, etc.","P",
1,71709,"STEAM WHIM HOUSE","Y","A steam driven winding engine house for raising coal to the surface.","P",
1,71710,"Ale House","N",,"N",
1,71711,"Calefactory","N",,"N",
1,71714,"Workhouse Chapel","N","Use both terms.","N",
1,71717,"ODDFELLOWS HALL","Y","A building used by the society, fraternity or order organized under this name with initiatory rites, mystic signs of recognition and various degrees of dignity or honour, for social or benevolent purposes.","P",
1,71718,"FISHMONGERS SHOP","Y","A shop where fish is sold.","P",
1,71720,"Brotherhood House","N",,"N",
1,71721,"POLYTECHNIC","Y","An educational institution, introduced in the 1960s. Distinguished from universities by traditionally training technicians in business, industry and commerce for an immediate local area, and offering more part-time classes, etc.","P",
1,71722,"MARKET HOUSE","Y","A market building, pre-19th century, incorporating other function rooms, eg. theatres, courtrooms, schoolrooms.","P",
1,71724,"BUTTERY","Y","A room used primarily for storing food and drink.","P",
1,71726,"FISH FARM","Y","A farm with a pond, river, lake or tanks where fish are kept and bred for commercial purposes.","P",
1,71727,"Grooms Cottage","N",,"N",
1,71728,"Maltsters House","N",,"N",
1,71729,"HAIRDRESSERS SALON","Y","An establishment where people get their hair dressed and cut.","P",
1,71730,"Mental Hospital","N","A disused term for a hospital caring for and treating patients affected with acute or chronic mental illness.","N",
1,71731,"COLONNADE","Y","A row of columns supporting an entablature.","P",
1,71732,"Wine Vault","N",,"N",
1,71733,"Bookshop","N",,"N",
1,71735,"Gig House","N",,"N",
1,71737,"FUNERAL CHAPEL","Y","A chapel within a parish church containing an altar and one or more tombs.","P",
1,71738,"Motor Repair Workshop","N",,"N",
1,71739,"COTTAGE ORNEE","Y","A rustic building of picturesque design.","P",
1,71740,"JEWELLERY WORKSHOP","Y","A workshop used for the manufacture of items of jewellery and/or timepieces from precious metals and precious or semi-precious stones.","P",
1,71741,"LARDER","Y","A store for keeping undressed meat.","P",
1,71742,"PUMP ROOMS","Y","A spa building to which water was pumped from springs or wells; usually also serving a social function as an ASSEMBLY ROOM, eg. as at Bath.","P",
1,71743,"CORONERS COURT","Y","A building where an officer of a county, district or municipality acting as a representative of the Crown holds inquests, including deaths through violence or accident and treasure trove.","P",
1,71746,"SQUASH COURT","Y","A place where the game of squash is played.","P",
1,71748,"Estate House","N",,"N",
1,71749,"Sheiling","N",,"N",
1,71750,"Clock House","N",,"N",
1,71751,"CHARTIST COLONY HOUSE","Y","A dwelling house forming part of a Chartist Land Colony.","P",
1,71752,"CHARTIST LAND COLONY","Y","A model village established by the chartists.","P",
1,71755,"EATING HOUSE","Y","A cheap restaurant.","P",
1,71756,"SMITHS COTTAGE","Y","The dwelling of a blacksmith, nailer, sword cutler, etc, often adjacent to, or containing, a BLACKSMITHS WORKSHOP.","P",
1,71757,"WOOL STAPLE","Y","A market appointed for the sale of wool.","P",
1,71758,"FISH HOUSE","Y","A building used for the storage of fish.","P",
1,71760,"Charity House","N",,"N",
1,71762,"UNIVERSITY COLLEGE","Y","A college associated with, or forming part of, a university.","P",
1,71764,"Headquarters","N","For Commercial organisations use OFFICE. For Military use MILITARY HEADQUARTERS.","N",
1,71765,"LIVERY STABLE","Y","A stable where horses are kept at livery, or are let out for hire.","P",
1,71767,"AISLED BARN","Y","A barn in which a central space is separated from side aisles by posts and braces.","P",
1,71768,"FODDER STORE","Y","A building used to prepare and store dry food such as hay and straw for the feeding of cattle.","P",
1,94324,"CUPOLA FURNACE","Y","A furnace used for melting metals for casting or for heating shot.","P",
1,94325,"Dyke (Flood Defence)","N","Use for flood defence embankment.","N",
1,94326,"Television Repeater Station","N",,"N",
1,94120,"Air Gunnery And Bombing Range","N",,"N",
1,71772,"Monastic Infirmary","N","Use both terms.","N",
1,71773,"Semaphore Tower","N",,"N",
1,71775,"FEED MILL","Y","A building or site for the manufacture of livestock fodder.","P",
1,71776,"GRAIN ELEVATOR","Y","A machine used for the loading and unloading of grain to and from a warehouse","P",
1,71777,"Park Lodge","N",,"N",
1,71779,"TRAINING CENTRE","Y","A place where specific skills are taught on short courses.","P",
1,71784,"WOOL EXCHANGE","Y","A commercial building used primarily as a trading place for wool merchants.","P",
1,71785,"ORE STORE","Y","A storehouse for ore, often found in conjunction with a BLAST FURNACE.","P",
1,71786,"Dining Hall","N",,"N",
1,71788,"PUBLIC SCHOOL","Y","An endowed school providing a liberal education for such as can afford it.","P",
1,71789,"Mine Pumping Station","N",,"N",
1,71790,"FISH AND CHIP SHOP","Y","A shop where fish and chips are sold.","P",
1,71792,"Handle House","N",,"N",
1,71793,"LEATHER FACTORY","Y","A factory for the manufacture of leather goods, such as shoes, saddles, etc. Use TANNERY for the manufacture of leather.","P",
1,94123,"BARRAGE BALLOON CENTRE","Y","An RAF Base, used specifically for the storage and maintenance of barrage balloons.","P",
1,68807,"WINE CELLAR","Y","A building or subterranean structure used for the storage of wine.","P",
1,69097,"CHIMNEY","Y","Chimney used on an industrial or commercial site.","P",
1,94126,"Chequer","N",,"N",
1,94127,"CATTLE STALL","Y","A stall, often within a cow house, where cattle are kept individually.","P",
1,94128,"COTTAGE FACTORY","Y","Three storey house with a topshop; machinery powered by shafting through the upper floor.","P",
1,71796,"Civic Hall","N",,"N",
1,71797,"MAGISTRATES COURT","Y","A law court exercising summary criminal jurisdiction, preliminary hearings and some civil jurisdiction. Formally established by name following legislation of 1949.","P",
1,70337,"BUILDING PLATFORM","Y","A site where a building once stood as identified by a level area of ground, often compacted or made from man-made materials. Use only where specific function is unknown, otherwise use more specific term.","P",
1,70018,"BURIAL","Y","An interment of human or animal remains. Use specific type where known. If component use with wider site type. Use FUNERARY SITE for optimum retrieval in searches.","P",
1,70624,"Burial Chamber","N",,"N",
1,70625,"Burial Ground","N","Use specific type of cemetry where known.","N",
1,70626,"Trolleybus Depot","N",,"N",
1,70627,"Butter Cross","N",,"N",
1,68830,"BUTTS","Y","A mound or structure on which an archery, musketry or artillery target is erected. Use specific type where known.","P",
1,70628,"Cowshed","N",,"N",
1,70629,"Shippon","N",,"N",
1,70630,"Cage","N",,"N",
1,70631,"CAIRN CIRCLE","Y","A circle of spaced upright boulders emerging from a low, hemispherical, stony mound. The boulders may lean outwards due to pressure from the cairn material.","P",
1,70611,"BRICKFIELD","Y","A site where clay is both extracted and fired to produce bricks.","P",
1,70569,"Fire Beacon","N",,"N",
1,70310,"BEAM SLOT","Y","A trench dug to contain a sill beam, a horizontal timber beam used as a foundation for the wall of a building. Use wider site type where known.","P",
1,70572,"Beehive Hut","N",,"N",
1,70573,"Belfry","N",,"N",
1,70574,"Belgic Oppidum","N",,"N",
1,69965,"BELL TOWER","Y","A tower or turret in which bells are hung.","P",
1,70575,"Campanile","N",,"N",
1,70576,"Benedictine Abbey","N","Use ABBEY and BENEDICTINE MONASTERY/NUNNERY.","N",
1,70577,"Benedictine Alien Priory","N","Use ALIEN PRIORY with BENEDICTINE MONASTERY/NUNNERY.","N",
1,70578,"Benedictine Cathedral Priory","N","Use all terms.","N",
1,70580,"Ecclesiastical Palace","N",,"N",
1,70581,"Episcopal Palace","N",,"N",
1,70583,"Blacksmiths Shop","N",,"N",
1,70584,"Charcoal Blast Furnace","N",,"N",
1,70585,"Bloom Hearth","N",,"N",
1,70586,"Bloomsmithy","N",,"N",
1,70587,"String Hearth","N",,"N",
1,70588,"Boiling Mound","N",,"N",
1,70591,"Bonhommes College","N",,"N",
1,70155,"BONHOMMES MONASTERY","Y","A residence of the Bonhommes brethren, who followed the Augustinian rule.","P",
1,70592,"Borough Stone","N",,"N",
1,70595,"BOTTLE KILN","Y","A large, ""bottle-shaped"", oven of brick construction used in the baking or firing of pottery.","P",
1,70596,"BOTTLE WORKS","Y","A site where the manufacture of glass bottles takes place.","P",
1,70597,"Boundary Feature","N",,"N",
1,70598,"Estate Boundary","N",,"N",
1,70599,"Linear Boundary","N",,"N",
1,70600,"Property Boundary","N",,"N",
1,70601,"BOUNDARY FENCE","Y","A fence that indicates the limit of an area or a piece of land.","P",
1,70602,"County Stone","N",,"N",
1,70603,"Estate Stone","N",,"N",
1,70604,"Hoar Stone","N",,"N",
1,70605,"Hundred Stone","N",,"N",
1,70609,"Brew House Garden","N",,"N",
1,70610,"Brickearth Quarry","N",,"N",
1,70568,"Gun Battery","N",,"N",
1,70521,"Ardmarks","N",,"N",
1,70524,"Munitions Depot","N",,"N",
1,70525,"Arrouiasian Abbey","N","Use ABBEY with AUGUSTINIAN MONASTERY.","N",
1,70526,"Arrouiasian Priory","N","Use PRIORY with AUGUSTINIAN MONASTERY.","N",
1,70528,"Rayon Factory","N",,"N",
1,70529,"Artillery Mound","N",,"N",
1,70530,"Gun Tower","N",,"N",
1,70531,"Bedlam","N","A historic term for a psychiatric hospital or institution. Refers to the infamous 13th century institution in London, called the hospital of St Mary of Bethlehem or Bethlem Royal Hospital, known for its brutal treatment of its patients.","N",
1,70532,"Lunatic Asylum","N","A historic term for an institution caring for people with mental illness.","N",
1,70533,"Madhouse","N","A historic term for an institution caring for people with mental illness.","N",
1,70534,"Mental Asylum","N",,"N",
1,70535,"Augustinian Abbey","N","Use ABBEY with AUGUSTINIAN DOUBLE HOUSE/MONASTERY/NUNNERY.","N",
1,70536,"Augustinian Alien Priory","N","Use ALIEN PRIORY with AUGUSTINIAN DOUBLE HOUSE/MONASTERY or NUNNERY.","N",
1,70537,"Augustinian Cathedral Priory","N","Use all terms.","N",
1,70538,"Augustinian Priory","N","Use PRIORY with AUGUSTINIAN MONASTERY or AUGUSTINIAN NUNNERY.","N",
1,70539,"Holy Sepulchre Priory","N","Use both terms.","N",
1,70540,"Victorine Abbey","N","Use both terms.","N",
1,70541,"Victorine Priory","N","Use both terms.","N",
1,70549,"Axe Factory","N",,"N",
1,70551,"RECREATIONAL","N","This is the top term for the class. See RECREATIONAL Class List for narrow terms.","P",
1,70552,"Inner Bailey","N",,"N",
1,70553,"Outer Bailey","N",,"N",
1,70554,"Gaming Pit","N",,"N",
1,70555,"Ball Clay Mine","N",,"N",
1,70556,"Bar Gate","N",,"N",
1,68820,"BARMKIN","Y","A defensive cattle enclosure added to fortified towers.","P",
1,70557,"Burial Mound","N","Use both terms.","N",
1,70559,"Tumulus","N",,"N",
1,70560,"Barrow Field","N",,"N",
1,70561,"Barton","N",,"N",
1,70565,"Public Baths","N",,"N",
1,70567,"Swimming Baths","N",,"N",
1,68824,"BATTERY","Y","A site where guns, mortars or searchlights are mounted. Use specific type where known.","P",
1,70486,"Air Mill","N",,"N",
1,70487,"Aircraft Works","N",,"N",
1,70489,"Alien Grange","N",,"N",
1,70490,"ALIEN PRIORY","Y","A priory dependent on a foreign mother house. Use with narrow terms of DOUBLE HOUSE, MONASTERY or NUNNERY.","P",
1,70491,"Alien Priory Cell","N",,"N",
1,70494,"Bedehouse","N",,"N",
1,70495,"Maison Dieu","N",,"N",
1,70496,"ALUM HOUSE","Y","A building used for the crystallization process in alum making.","P",
1,70497,"Alum Mine","N",,"N",
1,70498,"ALUM QUARRY","Y","A site where alum (hydrous sulphate or salt and alumina) is quarried.","P",
1,70499,"Arena","N",,"N",
1,70503,"Anchorage (Religious)","N",,"N",
1,70506,"Animal Pound","N",,"N",
1,70511,"Annular Enclosure","N",,"N",
1,70513,"Applecrusher","N",,"N",
1,70515,"Archway","N",,"N",
1,70516,"ARCHBISHOPS PALACE","Y","The official residence of an archbishop, eg. Lambeth Palace.","P",
1,70485,"Crow","N","Small agricultural structure built into field walls in Cornwall.","N",
1,70447,"Latrine","N",,"N",
1,70448,"LEAT","Y","Artificial water channel, usually leading to a mill.","P",
1,70449,"POND","Y","A body of still water often artificially formed for a specific purpose. Use specifc type where known.","P",
1,70450,"PUBLIC CONVENIENCE","Y","A toilet or toilets for public use.","P",
1,70451,"PUMP","Y","A machine used to raise and move water and other liquids, compress gases, etc. Use more specific type where known.","P",
1,70453,"WIND PUMP","Y","A wind-powered pump for land drainage.","P",
1,70454,"PUMP HOUSE","Y","A small pumping station.","P",
1,70455,"PUMP ROOM","Y","A room or building where a pump is worked.","P",
1,71798,"ARMY CAMP","Y","A site where an army or body of troops is, temporarily or permanently, lodged, with or without entrenchments and fortifications.","P",
1,71799,"ARMY OFFICE","Y","A building used for a variety of administrative purposes, usually at a military base.","P",
1,71800,"Time Office","N",,"N",
1,71802,"WEIGH HOUSE","Y","A building containing a weighing machine for weighing goods; sometimes found in markets, ports, etc.","P",
1,71804,"Moated Garden","N","Use both terms.","N",
1,71805,"MANOR FARM","Y","A farm on the estate of a manor.","P",
1,71806,"BINGO HALL","Y","A place where the popular gambling game of bingo is played.","P",
1,71808,"AUCTION HOUSE","Y","A place where public sales of goods are made by competitive bidding.","P",
1,68884,"VALLUM","Y","A flat bottomed ditch flanked by mounds running to the south of Hadrian's Wall for much of its length, marking the boundary of the military zone.","P",
1,71811,"LIGHTKEEPERS HOUSE","Y","The residence of a lightkeeper.","P",
1,71812,"CONVALESCENT HOME","Y","An establishment where patients can rest and recover after an operation or illness.","P",
1,71813,"SHOPPING CENTRE","Y","A shopping complex, usually indoors, comprised of a number of separate retail outlets surrounding an open space. Often on more than one level.","P",
1,68705,"FORUM","Y","A large, rectangular open space at the centre of a Roman town, incorporating public spaces and a market area.","P",
1,71815,"BLACKSMITHS WORKSHOP","Y","Place where a smith works iron. May be for small scale local use or within a larger industrial complex.","P",
1,68873,"VEXILLATION FORT","Y","A military base normally between 20 and 30 acres in size, containing legionary and auxiliary battle units, which served as stores depots and winter quarters during campaigns.","P",
1,68883,"TURRET","Y","A small tower or bartizan, which was often placed at the angles of a castle, to increase the flanking ability, some only serving as corner buttresses. Also used to describe the small rectangular towers situated between the milecastles along Hadrians Wall.","P",
1,71817,"COASTAL BATTERY","Y","A defensive gun battery positioned to face out to sea to fire on enemy ships and amphibious craft.","P",
1,71818,"WORKERS HOSTEL","Y","A temporary hostel built for industrial or transport workers; for example, railway workers' hostels were provided for engine drivers.","P",
1,71819,"SCREENING PLANT","Y","A type of coal preparation plant for the sizing, sorting and washing of coal.","P",
1,71821,"Stone Works","N",,"N",
1,71822,"POLISHING SHOP","Y","A building in which engineered metal products are finished and polished.","P",
1,71823,"ARCHITECTURAL ORNAMENT WORKSHOP","Y","A place where architectural ornaments such as stone vases and urns are manufactured.","P",
1,71824,"SAUNA","Y","A building housing a Finnish-style steam bath.","P",
1,71829,"TEXTILE WAREHOUSE","Y","A large store for textiles.","P",
1,71830,"TEMPERANCE HALL","Y","A meeting hall of the Temperance Society.","P",
1,71833,"OFFICERS QUARTERS","Y","A building where military officers are accommodated.","P",
1,71835,"MILITARY COLLEGE","Y","A training college for the instruction of military trainees in the theory and practice of warfare.","P",
1,71836,"FITTERS WORKSHOP","Y","Engineering workshop intended either for final adjustments of new machinery or the fitting of replacement parts to machinery under repair.","P",
1,71837,"Canal Dry Dock","N","Use both terms.","N",
1,71838,"WET DOCK","Y","A large, watertight enclosure in which the water is maintained at the high-tide level so that vessels remain constantly afloat in them.","P",
1,71858,"Independent Chapel","N",,"N",
1,71860,"CHRISTIAN SCIENCE CHURCH","Y","A place of worship for Christian Scientists, a sect founded in the mid-19th century in America who believe that God is the only reality and can bring healing to humanity.","P",
1,71862,"HOMELESS HOSTEL","Y","A place where the homeless are accommodated, permanently or temporarily.","P",
1,78137,"WESLEYAN METHODIST CHAPEL","Y","A place of worship for Wesleyan Methodists. This was the original Methodist church from which the other denominations seceded. In 1932 they joined the United Methodists and the Primitive Methodists to form the Methodist church.","P",
1,78148,"Open Work","N",,"N",
1,78149,"COVE","Y","Prehistoric structure consisting of three or more standing stones in close proximity to each other, forming an unroofed approximately rectangular structure open in one direction.","P",
1,78151,"Military Works Depot","N",,"N",
1,78156,"FEATURE","Y","Areas of indeterminate function.","P",
1,78157,"Cobbled Surface","N",,"N",
1,78158,"TETHERING POST","Y","a wooden, metal or stone post used to tether a horse, or other animals.","P",
1,78159,"Tethering Ring","N",,"N",
1,78160,"Rubbish Dump","N",,"N",
1,78163,"METAL WORKING SITE","Y","A site where metal is worked. Use specific type where known.","P",
1,78167,"ANIMAL HOUSE","Y","Living quarters for animals, birds, etc, as pets or for observation, entertainment, etc.","P",
1,78168,"REPTILE HOUSE","Y","A building where reptiles are accommodated at a zoo or wildlife park.","P",
1,78174,"AQUARIUM","Y","A zoo building containing artificial ponds or tanks in which aquatic plants and animals are kept alive for purposes of observation and study.","P",
1,78189,"FIELD KITCHEN","Y","A temporary kitchen set up in the field providing food for troops. Use with MILITARY CAMP if existence of this is known.","P",
1,78190,"Military Field Kitchen","N",,"N",
1,78191,"PLANTATION","Y","A group of planted trees or shrubs, generally of uniform age and of a single species.","P",
1,78192,"Pye Kiln","N",,"N",
1,78193,"RING BANK","Y","Circular enclosure featuring an enclosing bank with no accompanying ditch. Use specific type where known.","P",
1,78195,"Peat Tie","N",,"N",
1,78206,"CLAY MINE","Y","A site where clay is mined from the ground.","P",
1,78207,"BARYTES MINE","Y","A site where barytes (barium sulphate) is mined. Barytes is also commonly worked from the waste tips of lead mines.","P",
1,78208,"WITHERITE MINE","Y","A mine used for the extraction of the mineral Witherite. When secondary mineral, use with term for product, eg. LEAD MINE.","P",
1,78209,"FLUORSPAR MINE","Y","When a secondary mineral, use term for product type, eg. LEAD MINE.","P",
1,78210,"FLUORSPAR WORKINGS","Y","A site where fluorspar or fluoride of calcium, often used as a flux by copper-ore smelters, is extracted from an open cast mine.","P",
1,78211,"GOAL POST ENCLOSURE","Y","A single ditched 3-sided rectilinear enclosure.","P",
1,78212,"Staple Enclosure","N",,"N",
1,78213,"GYPSUM MINE","Y","A site where gypsum and anhydrate is mined.","P",
1,78214,"INTERRUPTED DITCH SYSTEM","Y","Ditches interrupted by wide, regular causeways. Each section of ditch is about 30-40m long, and each causeway is 10-15m wide. In some cases, a network of fields has been created. Found mainly in the South East of England.","P",
1,78215,"OSIER BED","Y","A place where osiers (willows) are grown for basket-making.","P",
1,78218,"ROBBER TRENCH","Y","Use broader site type where known","P",
1,78219,"UMBER WORKINGS","Y","A place where umber or oxide of iron and manganese, is extracted from an open cast mine.","P",
1,78224,"FOOTBALL PITCH","Y","A prepared area of grass on which the game of football is played.","P",
1,78226,"SHOPPING PRECINCT","Y","A pedestrianized shopping street, or a more complex arrangement of shopping 'squares' and walkways.","P",
1,78227,"AIRCRAFT OBSTRUCTION","Y","Shallow ditches and/or poles erected across open land to obstruct the landing of enemy aircraft and gliders.","P",
1,78229,"PEDESTRIAN PRECINCT","Y","An area in a town where traffic is prohibited, often containing shops.","P",
1,78231,"TRAMWAY BRIDGE","Y","A bridge carrying a tramway.","P",
1,78232,"Wood Boundary","N",,"N",
1,78239,"Registry Office","N",,"N",
1,78240,"CAIRN ALIGNMENT","Y","Long alignment of cairns lying between two large cairns; first recognized as a site type on Sourton Tor, Dartmoor.","P",
1,78241,"MOULD LOFT","Y","Used for the laying out and marking of the smaller parts of a ship prior to construction.","P",
1,78242,"BOAT STORE","Y","A place where boats are stored.","P",
1,78243,"MAST POND","Y","A pond with underwater arches where the poles for masts were stored to prevent them from drying and splitting.","P",
1,78244,"MAST HOUSE","Y","A building where masts are made and stored.","P",
92,78253,"CROPMARK","Y","Monument visible as a mark in standing crops or parchmarks, but where no subsurface deposits have been proven eg by excavation or other ground disturbance, in which case SUB SURFACE DEPOSIT should be used.","P",
1,78258,"PAINT SHOP","Y","Workshop for the painting of vehicles, machines, etc.","P",
1,78259,"CARRIAGE WORKS","Y","A building or works in which carriages were built. Use RAILWAY CARRIAGE WORKS for sites making railway carriages.","P",
1,78268,"Holding Prison","N",,"N",
1,78269,"Gate Post","N",,"N",
77,84302,"PYRITES","Y","Traditionally a mineral that could be used for striking fire but now a term commonly used to refer to various sulphides, especially iron disulphide.","P",
1,78316,"Street","N",,"N",
1,70322,"BOMB CRATER","Y","A depression in the ground caused by the explosion of a mine or bombshell.","P",
1,70323,"BOUNDARY","Y","The limit to an area as defined on a map or by a marker of some form, eg. BOUNDARY WALL. Use specific type where known.","P",
1,70224,"SWING BRIDGE","Y","A movable bridge that swings or rotates around a central pier to provide a passageway for navigation.","P",
1,70226,"TRANSPORTER BRIDGE","Y","A bridge consisting of a lattice girder spanning the distance between the tops of two towers. Designed to transport vehicles across the gap in a container suspended at road level by ropes under a travelling crane on the girder.","P",
1,70228,"DIRECTION STONE","Y","A stone, situated alongside a road, providing directions to travellers.","P",
1,70230,"Canal Incline","N",,"N",
1,70231,"Railway Incline","N",,"N",
1,70232,"LIFT","Y","A structure consisting of a box or platform for carrying goods or passengers from one level to another. Use specific type where known.","P",
1,70237,"ENGINE SHED","Y","A building used to house railway engines.","P",
1,70238,"GOODS SHED","Y","A building in which railway wagons can unload local goods.","P",
1,70242,"ATMOSPHERIC RAILWAY","Y","A railway worked by the propulsive force of compressed air or by the formation of a vacuum.","P",
1,70246,"Railway Signal Box","N","Use both terms.","N",
1,70249,"RAILWAY TURNTABLE","Y","A piece of machinery on which a railway engine, carriage or wagon can be rotated at a railway terminal.","P",
1,70250,"RAILWAY VIADUCT","Y","A bridge, usually resting on raised arches, carrying a railway across low-lying land or water.","P",
1,70251,"TRAM DEPOT","Y","A place where trams are maintained and refitted, etc.","P",
1,70253,"PLATEWAY","Y","A track consisting of flanged strips used in early colliery railways.","P",
1,70258,"Cabmans Shelter","N",,"N",
