"TH_T_U_UID","TERM","CLA_GR_UID","BROAD_TERM_U_UID","TOP_TERM_U_UID"
186581,"MAGNETOMETER",1,133272,133272
134310,"MAIL BAG NET",1,135244,134198
135190,"MAIL BAG NET",1,135321,133272
182715,"MAIN HANGAR",1,182707,133297
182714,"MAIN HANGAR",1,182706,134198
186495,"MAINTENANCE WORKSHOP",1,135514,132062
131685,"MAISONETTE",1,134997,131528
134137,"MALT HOUSE",1,135098,134003
132236,"MALT HOUSE",1,135399,132062
192147,"MALT KILN",1,143505,143383
132237,"MALT KILN",1,135399,132062
134138,"MALT KILN",1,135098,134003
132425,"MALT KILN",1,132076,132062
132238,"MALTINGS",1,135399,132062
132707,"MAN ENGINE",1,132704,132062
131976,"MANAGED WOODLAND",1,131783,131783
135681,"MANAGED WOODLAND",1,134133,134003
192093,"MANAGERS HOUSE",1,143504,143383
134978,"MANAGERS HOUSE",1,135169,131528
186337,"MANGANESE MILL",1,132579,132062
186338,"MANGANESE MILL",1,135425,132062
132523,"MANGANESE MINE",1,135412,132062
132685,"MANGANESE MINE",1,132676,132062
202795,"MANHOLE",1,134767,133420
202796,"MANHOLE",1,144764,134417
185330,"MANHOLE COVER",1,135171,131783
134139,"MANOR",1,134133,134003
134140,"MANOR FARM",1,134085,134003
192094,"MANOR HOUSE",1,143504,143383
131687,"MANOR HOUSE",1,135169,131528
182286,"MANORIAL BOUNDARY",1,135295,143383
135809,"MANORIAL CHAPEL",1,133734,133667
205461,"MANORIAL FARM",1,134086,134003
131688,"MANSE",1,131574,131528
133127,"MANSIO",1,133065,133065
133235,"MANSIO",1,133154,133154
131689,"MANSION FLATS",1,131782,131528
192095,"MANSION HOUSE",1,143504,143383
135635,"MANSION HOUSE",1,133065,133065
143903,"MANSION HOUSE",1,135169,131528
135827,"MANURE SHED",1,135100,134003
132099,"MARBLE QUARRY",1,135480,132062
134626,"MARINA",1,134600,133420
135136,"MARINE CONSTRUCTION SITE",1,133420,133420
132431,"MARINE CONSTRUCTION SITE",1,132062,132062
191972,"MARINE ENGINEERING WORKS",1,135747,132062
134678,"MARINE ENGINEERING WORKS",1,135136,133420
145554,"MARINE ENGINEERING WORKS",1,145534,132062
132448,"MARINE ENGINEERING WORKS",1,132431,132062
192239,"MARINE LABORATORY",1,135419,132062
135634,"MARINE LABORATORY",1,133420,133420
133485,"MARINE LABORATORY",1,133481,133422
183908,"MARINE LAKE",1,144103,134417
183907,"MARINE LAKE",1,132044,131783
134679,"MARINE WORKSHOP",1,135136,133420
145776,"MARINE WORKSHOP",1,135514,132062
132449,"MARINE WORKSHOP",1,132431,132062
134705,"MARINERS COTTAGE",1,134691,131528
133420,"MARITIME",1,,133420
192096,"MARITIME HOUSE",1,143504,143383
134691,"MARITIME HOUSE",1,135169,131528
134706,"MARITIME OFFICE",1,133420,133420
135297,"MARKER CAIRN",1,143383,143383
154123,"MARKER POST",1,135088,135088
135875,"MARKER STONE",1,135088,135088
133236,"MARKET",1,133154,133154
133757,"MARKET CROSS",1,133755,133667
134142,"MARKET GARDEN",1,134133,134003
133201,"MARKET HALL",1,133236,133154
133237,"MARKET HOUSE",1,133236,133154
133128,"MARKET HOUSE",1,133139,133065
133238,"MARKET PLACE",1,133236,133154
132037,"MARKET PLACE",1,135172,131783
133239,"MARKET STALL",1,133236,133154
132167,"MARL PIT",1,132151,132062
132296,"MARL PIT",1,135386,132062
202802,"MARQUEE",1,131811,131783
133129,"MARRIAGE FEAST HOUSE",1,135120,133065
163543,"MARRIED QUARTERS",1,144323,131528
185249,"MARSH",1,134133,134003
134309,"MARSHALLING YARD",1,135244,134198
192097,"MARSHMANS COTTAGE",1,143504,143383
144830,"MARSHMANS COTTAGE",1,144823,131528
135851,"MARSHMANS COTTAGE",1,135169,131528
134716,"MARTELLO TOWER",1,136814,133297
135153,"MARTELLO TOWER",1,134714,133420
145243,"MASH HOUSE",1,135400,132062
132245,"MASH HOUSE",1,135399,132062
186390,"MASS GRAVE",1,133806,133667
192179,"MAST HOUSE",1,145776,132062
134680,"MAST HOUSE",1,134679,133420
132450,"MAST HOUSE",1,132449,132062
135691,"MAST POND",1,132431,132062
134681,"MAST POND",1,135136,133420
132451,"MAST POND",1,134441,134417
134701,"MASTER ROPEMAKERS HOUSE",1,134691,131528
136724,"MASTER SHIPWRIGHTS HOUSE",1,134691,131528
141152,"MASTING SHEERS",1,132431,132062
141153,"MASTING SHEERS",1,135136,133420
191997,"MATCH FACTORY",1,143600,143383
132200,"MATCH FACTORY",1,132173,132062
132927,"MATCH FACTORY",1,135449,132062
135927,"MATCH LODGE",1,140635,132062
134542,"MATERNITY BLOCK",1,135138,134482
134543,"MATERNITY CLINIC",1,134500,134482
134541,"MATERNITY HOSPITAL",1,135140,134482
133486,"MATHEMATICAL INSTITUTE",1,133480,133422
193680,"MATZEVAH",1,133868,133667
134744,"MAUSOLEUM",1,202705,133667
202865,"MAYCRETE HUT",1,139302,133297
135123,"MAYORS RESIDENCE",1,135011,131528
135124,"MAYORS RESIDENCE",1,133065,133065
133893,"MAYPOLE",1,133667,133667
131965,"MAZE",1,131783,131783
133894,"MAZE",1,133667,133667
131940,"MEADOW",1,134133,134003
190387,"MEAT CELLAR",1,135098,134003
190386,"MEAT CELLAR",1,135401,132062
133166,"MEAT MARKET",1,133236,133154
133487,"MECHANICS INSTITUTE",1,133480,133422
135588,"MEDICAL CENTRE",1,134482,134482
134551,"MEDICAL COLLEGE",1,134482,134482
133488,"MEDICAL COLLEGE",1,135188,133422
183903,"MEDITATION CENTRE",1,134482,134482
154143,"MEERSTONE",1,135875,135088
135627,"MEERSTONE",1,135413,132062
135120,"MEETING HALL",1,133139,133065
133542,"MEETING HALL",1,135160,133551
183033,"MEMORIAL HALL",1,133139,133065
192098,"MERCHANTS HOUSE",1,143504,143383
131691,"MERCHANTS HOUSE",1,135169,131528
182062,"MESS",1,136819,133297
134141,"MESSUAGE",1,134133,134003
206816,"METAL BOX FACTORY",1,143600,143383
206815,"METAL BOX FACTORY",1,132388,132062
206814,"METAL BOX FACTORY",1,132173,132062
135412,"METAL EXTRACTION SITE",1,135410,132062
135993,"METAL FRAMED BUILDING",1,143383,143383
135410,"METAL INDUSTRY SITE",1,132062,132062
135413,"METAL PROCESSING SITE",1,135410,132062
135423,"METAL PRODUCT SITE",1,135410,132062
132363,"METAL PRODUCTION FURNACE",1,132357,132062
135414,"METAL SMELTING SITE",1,135410,132062
154163,"METAL WORKERS WORKSHOP",1,136643,132062
144943,"METAL WORKERS WORKSHOP",1,135392,132062
145801,"METAL WORKERS WORKSHOP",1,135514,132062
136643,"METAL WORKING SITE",1,135410,132062
192022,"METAL WORKS",1,143600,143383
154164,"METAL WORKS",1,136643,132062
145663,"METAL WORKS",1,132173,132062
135600,"METHANE PLANT",1,132674,132062
133705,"METHODIST CHAPEL",1,133697,133667
133710,"METHODIST NEW CONNEXION CHAPEL",1,133705,133667
140625,"METHODIST REFORM CHAPEL",1,133705,133667
134311,"MEWS",1,135247,134198
131692,"MEWS",1,134996,131528
183311,"MICROBREWERY",1,132229,132062
135796,"MID BREASTSHOT WHEEL",1,132814,132062
135725,"MIDDEN",1,134003,134003
131693,"MIDDEN",1,131528,131528
131694,"MIGRATED VILLAGE",1,131673,131528
135372,"MILE PLATE",1,134198,134198
135052,"MILECASTLE",1,133344,133297
133370,"MILECASTLE",1,133358,133297
135053,"MILEFORTLET",1,133344,133297
133371,"MILEFORTLET",1,133358,133297
134313,"MILEPOST",1,134198,134198
132004,"MILEPOST",1,135171,131783
134312,"MILESTONE",1,134198,134198
132005,"MILESTONE",1,135171,131783
136838,"MILITARY AIRFIELD",1,136821,133297
136839,"MILITARY AIRFIELD",1,136816,133297
135311,"MILITARY AIRFIELD",1,135239,134198
136816,"MILITARY AIRFIELD SITE",1,176417,133297
133372,"MILITARY BASE",1,176417,133297
139302,"MILITARY BUILDING",1,133297,133297
133373,"MILITARY CAMP",1,133372,133297
192322,"MILITARY CANAL",1,132060,134417
134314,"MILITARY CANAL",1,134227,134198
133374,"MILITARY CANAL",1,136821,133297
133840,"MILITARY CEMETERY",1,133832,133667
133743,"MILITARY CHAPEL",1,133734,133667
134714,"MILITARY COASTAL DEFENCES",1,133420,133420
135108,"MILITARY COLLEGE",1,136820,133297
133479,"MILITARY COLLEGE",1,135188,133422
139312,"MILITARY DEPOT",1,176417,133297
135886,"MILITARY HEADQUARTERS",1,133372,133297
192067,"MILITARY HOSPITAL",1,135351,133667
134490,"MILITARY HOSPITAL",1,134530,134482
176417,"MILITARY INSTALLATION",1,133297,133297
136817,"MILITARY OBSERVATION SITE",1,133297,133297
204832,"MILITARY OFFICE",1,136819,133297
204831,"MILITARY OFFICE",1,135132,135088
135889,"MILITARY POLICE SECTION HOUSE",1,136819,133297
145163,"MILITARY PRISON",1,133075,133065
144323,"MILITARY RESIDENCE",1,135011,131528
182142,"MILITARY ROAD",1,134220,134198
135301,"MILITARY ROAD",1,136821,133297
136818,"MILITARY SIGNALLING SITE",1,133297,133297
136819,"MILITARY SUPPORT BUILDING",1,139302,133297
136820,"MILITARY TRAINING SITE",1,133297,133297
136821,"MILITARY TRANSPORT SITE",1,133297,133297
134315,"MILK DEPOT",1,134198,134198
133241,"MILK DEPOT",1,133154,133154
134143,"MILKING PARLOUR",1,135098,134003
134144,"MILKING SHED",1,135098,134003
132579,"MILL",1,132388,132062
205497,"MILL DAM",1,192296,133420
134449,"MILL DAM",1,134426,134417
132800,"MILL DAM",1,132799,132062
192127,"MILL HOUSE",1,192091,143383
134980,"MILL HOUSE",1,134971,131528
135736,"MILL HOUSE",1,135683,132062
187037,"MILL LODGE",1,134463,134417
135488,"MILL POND",1,135436,132062
132803,"MILL POND",1,134441,134417
134450,"MILL RACE",1,134476,134417
132804,"MILL RACE",1,135436,132062
135806,"MILLSTONE",1,132062,132062
132838,"MILLSTONE WORKING SITE",1,132835,132062
132676,"MINE",1,132674,132062
132696,"MINE BUILDING",1,132674,132062
132697,"MINE DRAINAGE AND VENTILATION SITE",1,132674,132062
132704,"MINE LIFTING AND WINDING STRUCTURE",1,132674,132062
132997,"MINE PUMPING SHAFT",1,132697,132062
132996,"MINE PUMPING WORKS",1,132697,132062
132700,"MINE SHAFT",1,132697,132062
184556,"MINED BRIDGE",1,204823,133297
204825,"MINED ROAD",1,204823,133297
136850,"MINEFIELD",1,136815,133297
191860,"MINERAL BATHS",1,135198,134417
134735,"MINERAL BATHS",1,134719,134482
136013,"MINERAL DEPOT",1,132062,132062
136014,"MINERAL DEPOT",1,134198,134198
135415,"MINERAL EXTRACTION SITE",1,132062,132062
136722,"MINERAL JELLY STORE",1,140635,132062
132168,"MINERAL PIT",1,132151,132062
135425,"MINERAL PRODUCT SITE",1,132062,132062
134316,"MINERAL RAILWAY",1,134330,134198
192040,"MINERAL WATER FACTORY",1,143600,143383
177650,"MINERAL WATER FACTORY",1,132173,132062
135638,"MINERAL WATER FACTORY",1,135398,132062
134544,"MINERAL WATER HOSPITAL",1,135140,134482
132715,"MINERS CHANGING HOUSE",1,132696,132062
133489,"MINERS READING ROOM",1,133506,133422
135577,"MINES RESCUE STATION",1,132696,132062
182072,"MINEWATCHERS POST",1,135829,133297
133625,"MINIATURE GARDEN",1,131898,131783
185214,"MINIATURE GOLF COURSE",1,133551,133551
134317,"MINIATURE RAILWAY",1,134330,134198
135949,"MINING EXCHANGE",1,134944,133154
132674,"MINING INDUSTRY SITE",1,132062,132062
202859,"MINISTRY OF SUPPLY LIVING HUT",1,139302,133297
202852,"MINISTRY OF SUPPLY TIMBER HUT",1,139302,133297
202880,"MINISTRY OF WORKS HALL HUT",1,135826,131528
202868,"MINISTRY OF WORKS STANDARD HUT",1,139302,133297
186532,"MINK FARM",1,134085,134003
192099,"MINKA",1,143504,143383
182104,"MINKA",1,135169,131528
133695,"MINSTER",1,134740,133667
133047,"MINT",1,135423,132062
133130,"MINT",1,133065,133065
133375,"MISSILE BASE",1,133297,133297
192039,"MISSILE FACTORY",1,143600,143383
143261,"MISSILE FACTORY",1,132173,132062
183325,"MISSION",1,133906,133667
133696,"MISSION CHURCH",1,133683,133667
134718,"MISSION HALL",1,134482,134482
134717,"MISSION HALL",1,133667,133667
133990,"MITHRAEUM",1,133988,133667
131954,"MIXED BORDER",1,131952,131783
143262,"MIXED CEMETERY",1,133825,133667
182381,"MIXING HOUSE",1,140635,132062
134145,"MIXING HOUSE BARN",1,134023,134003
135234,"MOAT",1,134417,134417
131661,"MOAT",1,131528,131528
204826,"MOBILE SOUND LOCATOR",1,143258,133297
176384,"MOBILIZATION CENTRE",1,139312,133297
136573,"MODEL",1,135088,135088
131778,"MODEL DWELLING",1,134997,131528
143604,"MODEL FACTORY",1,143600,143383
132202,"MODEL FACTORY",1,132173,132062
134146,"MODEL FARM",1,134085,134003
135007,"MODEL SETTLEMENT",1,131653,131528
134599,"MOLE",1,134595,133420
133941,"MONASTERY",1,133906,133667
144343,"MONASTIC DWELLING",1,131585,131528
135606,"MONASTIC PRECINCT",1,133667,133667
143383,"MONUMENT <BY FORM>",1,,143383
191451,"MONUMENTAL CHAMBER",1,133767,133667
154183,"MONUMENTAL MOUND",1,133667,133667
133896,"MONUMENTAL MOUND",1,135357,143383
184562,"MOORING BLOCK",1,135265,134198
184561,"MOORING BLOCK",1,134600,133420
134727,"MOORING BOLLARD",1,134600,133420
134319,"MOORING BOLLARD",1,135265,134198
131920,"MOORISH GARDEN",1,131898,131783
131844,"MOORISH PAVILION",1,131840,131783
133108,"MOOT",1,133065,133065
133131,"MOOT HALL",1,135120,133065
133713,"MORAVIAN CHAPEL",1,133697,133667
131696,"MORAVIAN SETTLEMENT",1,135007,131528
186531,"MORMON TEMPLE",1,134740,133667
204827,"MORRISON SHELTER",1,133300,133297
133874,"MORT SAFE",1,133767,133667
196596,"MORTAR CRATER",1,135088,135088
132581,"MORTAR MILL",1,132579,132062
132088,"MORTAR MILL",1,135428,132062
133875,"MORTUARY",1,134531,134482
133744,"MORTUARY CHAPEL",1,133734,133667
133876,"MORTUARY ENCLOSURE",1,133767,133667
133877,"MORTUARY HOUSE",1,133767,133667
135774,"MOSAIC",1,143783,135088
133897,"MOSQUE",1,134740,133667
131854,"MOSS HOUSE",1,131811,131783
135038,"MOTEL",1,135027,131528
133243,"MOTEL",1,133228,133154
132203,"MOTOR CYCLE FACTORY",1,135397,132062
132977,"MOTOR CYCLE FACTORY",1,144903,132062
206597,"MOTOR HOUSE",1,134284,134198
176411,"MOTOR TRANSPORT PARK",1,135247,134198
176410,"MOTOR TRANSPORT PARK",1,136821,133297
190253,"MOTOR TRANSPORT SHED",1,136821,133297
135397,"MOTOR VEHICLE ENGINEERING SITE",1,135396,132062
134968,"MOTOR VEHICLE SHOWROOM",1,133258,133154
182329,"MOTOR VEHICLE TESTING TRACK",1,135247,134198
136669,"MOTORING TELEPHONE BOX",1,132022,131783
136671,"MOTORING TELEPHONE BOX",1,136670,134198
136668,"MOTORING TELEPHONE BOX",1,133291,133272
185104,"MOTORWAY",1,134220,134198
135047,"MOTTE",1,133331,133297
131578,"MOTTE",1,131576,143383
133376,"MOTTE AND BAILEY",1,133331,133297
131697,"MOTTE AND BAILEY",1,131576,143383
192180,"MOULD LOFT",1,145776,132062
134682,"MOULD LOFT",1,134679,133420
132452,"MOULD LOFT",1,132449,132062
132129,"MOULD STORE",1,135429,132062
132082,"MOULDING HOUSE",1,135451,132062
132130,"MOULDMAKERS SHOP",1,135429,132062
135357,"MOUND",1,143383,143383
134320,"MOUNTING BLOCK",1,135247,134198
132006,"MOUNTING BLOCK",1,135171,131783
136734,"MOVABLE BRIDGE",1,135240,134198
143471,"MOVABLE BRIDGE",1,143703,143383
134643,"MOVING CRANE",1,135507,134198
143486,"MOVING CRANE",1,143723,143383
134646,"MOVING QUAY CRANE",1,134645,134198
134644,"MOVING QUAY CRANE",1,134643,134198
143487,"MOVING QUAY CRANE",1,143486,143383
132131,"MUFFLE KILN",1,135429,132062
132132,"MUG HOUSE",1,135429,132062
202798,"MULTI LEVEL BRIDGE",1,135240,134198
202799,"MULTI LEVEL BRIDGE",1,143703,143383
134321,"MULTI STOREY CAR PARK",1,134245,134198
172223,"MULTI STOREY MILL",1,143383,143383
192285,"MULTI STOREY STABLE",1,134177,134003
135581,"MULTI STOREY STABLE",1,134371,134198
133377,"MULTIPLE DITCH SYSTEM",1,133366,143383
134996,"MULTIPLE DWELLING",1,134997,131528
135064,"MULTIPLE ENCLOSURE FORT",1,133341,133297
135048,"MULTIPLE ENCLOSURE FORT",1,131601,131528
133363,"MULTIVALLATE HILLFORT",1,133341,133297
131680,"MULTIVALLATE HILLFORT",1,131601,131528
196600,"MULTIVALLATE RAMPART",1,133394,133297
177428,"MUNGO MILL",1,133017,132062
132898,"MUNGO MILL",1,132888,132062
132651,"MUNGO MILL",1,132625,132062
133132,"MUNICIPIUM",1,133136,133065
131698,"MUNICIPIUM",1,131760,131528
133133,"MUNIMENT HOUSE",1,133065,133065
133378,"MUNITION HOUSE",1,135063,133297
191998,"MUNITIONS FACTORY",1,143600,143383
132496,"MUNITIONS FACTORY",1,135382,132062
132204,"MUNITIONS FACTORY",1,132173,132062
133491,"MUSEUM",1,133422,133422
133628,"MUSEUM",1,135322,133551
182110,"MUSEUM SHIP",1,133628,133551
182109,"MUSEUM SHIP",1,133491,133422
182107,"MUSEUM SHIP",1,133420,133420
133629,"MUSIC HALL",1,135326,133551
135824,"MUSIC ROOM",1,135326,133551
133425,"MUSIC SCHOOL",1,135189,133422
135326,"MUSIC SPEECH AND DANCE VENUE",1,133551,133551
191999,"MUSICAL INSTRUMENT FACTORY",1,143600,143383
132205,"MUSICAL INSTRUMENT FACTORY",1,132173,132062
193990,"MUSLIM CEMETERY",1,133832,133667
145269,"MUSTARD MILL",1,132258,132062
132590,"MUSTARD MILL",1,132579,132062
132262,"MUSTARD MILL",1,132190,132062
204208,"NAAFI BUILDING",1,136819,133297
192000,"NAIL FACTORY",1,143600,143383
132946,"NAIL FACTORY",1,135423,132062
132206,"NAIL FACTORY",1,132173,132062
133061,"NAIL SHOP",1,135423,132062
192186,"NAILERS ROW",1,145801,132062
177655,"NAILERS ROW",1,154163,132062
134982,"NAILERS ROW",1,131730,131528
131699,"NAILERS ROW",1,144943,132062
135080,"NAMED TREE",1,135067,135065
183915,"NAPHTHA WORKS",1,145521,132062
183914,"NAPHTHA WORKS",1,132285,132062
134147,"NARROW RIDGE AND FURROW",1,134165,134003
202866,"NASHCRETE HUT",1,139302,133297
202867,"NASHCRETE HUT",1,133065,133065
135918,"NATIONAL SCHOOL",1,133515,133422
135509,"NATURAL FEATURE",1,135213,143383
182095,"NATURAL GAS STRUCTURE",1,132724,132062
182103,"NATURE RESERVE",1,131783,131783
190251,"NAVAL BATTLEFIELD",1,133324,133297
190252,"NAVAL BATTLEFIELD",1,135066,135065
134736,"NAVAL COLLEGE",1,133420,133420
133492,"NAVAL COLLEGE",1,135188,133422
191918,"NAVAL DOCKYARD",1,134265,134198
135777,"NAVAL DOCKYARD",1,135695,133420
132442,"NAVAL DOCKYARD",1,132441,132062
192044,"NAVAL GUNNERY RANGE",1,133602,133551
185039,"NAVAL GUNNERY RANGE",1,133352,133297
204181,"NAVAL HEADQUARTERS",1,135886,133297
182195,"NAVAL OFFICE",1,134706,133420
134699,"NAVAL OFFICERS HOUSE",1,134691,131528
134746,"NAVAL OFFICERS MESS",1,133420,133420
135151,"NAVAL STOREHOUSE",1,133420,133420
134753,"NAVIGATION AID",1,133420,133420
132947,"NEEDLE MILL",1,135423,132062
132595,"NEEDLE MILL",1,132579,132062
134546,"NEPHROLOGY HOSPITAL",1,135140,134482
135148,"NET HOUSE",1,133420,133420
134148,"NET HOUSE",1,135102,134003
135149,"NET LOFT",1,133420,133420
134149,"NET LOFT",1,135102,134003
186343,"NET MAKING SITE",1,135102,134003
135333,"NETBALL COURT",1,144464,133551
134548,"NEUROLOGY HOSPITAL",1,135140,134482
140629,"NEW CONNEXION OF GENERAL BAPTISTS CHAPEL",1,133699,133667
202711,"NEW TOWN",1,202709,131528
133205,"NEWSPAPER OFFICE",1,133160,133154
132686,"NICKEL MINE",1,132676,132062
182797,"NIGHT FIGHTER STATION WATCH OFFICE",1,182743,133297
191905,"NIGHT FIGHTER STATION WATCH OFFICE",1,182741,134198
136552,"NIGHTCLUB",1,135326,133551
139299,"NISSEN HUT",1,133065,133065
141150,"NISSEN HUT",1,139302,133297
145823,"NITRATE WORKS",1,145803,132062
145806,"NITRATE WORKS",1,132277,132062
145644,"NITRATE WORKS",1,145643,132062
135615,"NITRE BED",1,140634,132062
140688,"NITROCELLULOSE POWDER FACTORY",1,140637,132062
132313,"NITROGLYCERINE WORKS",1,140637,132062
184545,"NODAL POINT",1,184543,133297
139291,"NON ANTIQUITY",1,135088,135088
202678,"NONCONFORMIST CEMETERY",1,133832,133667
133697,"NONCONFORMIST CHAPEL",1,133734,133667
140633,"NONCONFORMIST CHURCH",1,133683,133667
133718,"NONCONFORMIST MEETING HOUSE",1,134740,133667
143605,"NORTH LIGHT FACTORY",1,143600,143383
132226,"NORTH LIGHT FACTORY",1,132173,132062
172245,"NORTH LIGHT SHED",1,132062,132062
172246,"NORTH LIGHT SHED",1,143383,143383
136727,"NOTICE BOARD",1,135171,131783
196590,"NOVICES ROOM",1,144343,131528
133379,"NUCLEAR BUNKER",1,136813,133297
132742,"NUCLEAR POWER STATION",1,132738,132062
182130,"NUCLEAR TEST SITE",1,135088,135088
133954,"NUNNERY",1,133906,133667
134549,"NURSERY",1,134482,134482
131921,"NURSERY GARDEN",1,134133,134003
133490,"NURSERY SCHOOL",1,133459,133422
135018,"NURSES HOSTEL",1,135011,131528
134550,"NURSES TRAINING SCHOOL",1,134482,134482
134552,"NURSING HOME",1,134482,134482
135016,"NURSING HOME",1,135011,131528
132056,"NYMPHAEUM",1,131831,131783
192148,"OASTHOUSE",1,143505,143383
134151,"OASTHOUSE",1,135098,134003
132426,"OASTHOUSE",1,132076,132062
132239,"OASTHOUSE",1,135399,132062
131884,"OBELISK",1,135170,131783
135829,"OBSERVATION POST",1,136817,133297
185298,"OBSERVATION TOWER",1,133551,133551
133493,"OBSERVATORY",1,133422,133422
187040,"OCCUPATION LAYER",1,185266,135088
136774,"OCCUPATION SITE",1,135512,135088
134553,"OCCUPATIONAL THERAPY UNIT",1,134482,134482
192222,"OCEAN LINER TERMINAL",1,144643,134198
134635,"OCEAN LINER TERMINAL",1,134632,133420
185318,"OCHRE MILL",1,135386,132062
185317,"OCHRE MILL",1,132579,132062
182206,"OCHRE MINE",1,132676,132062
132169,"OCHRE PIT",1,135415,132062
132297,"OCHRE PIT",1,135386,132062
132969,"OCHRE PIT",1,132151,132062
143618,"OCTAGONAL KILN",1,143505,143383
132403,"OCTAGONAL KILN",1,132076,132062
131818,"OCTAGONAL TEMPLE",1,131815,131783
133543,"ODDFELLOWS HALL",1,133542,133551
135132,"OFFICE",1,135290,135088
133380,"OFFICERS MESS",1,131528,131528
135826,"OFFICERS QUARTERS",1,144323,131528
192100,"OFFICIAL RESIDENCE",1,143504,143383
136672,"OFFICIAL RESIDENCE",1,135169,131528
133898,"OGHAM STONE",1,133667,133667
191281,"OHEL",1,133667,133667
132346,"OIL DISTILLERY",1,135408,132062
132328,"OIL DISTILLERY",1,135389,132062
132751,"OIL ENGINE",1,132749,132062
132743,"OIL FIRED POWER STATION",1,132738,132062
134664,"OIL FUEL BERTH",1,134662,133420
132591,"OIL MILL",1,132579,132062
132263,"OIL MILL",1,135402,132062
132347,"OIL PUMP",1,135408,132062
185077,"OIL REFINERY",1,185076,132062
132348,"OIL REFINERY",1,135408,132062
135921,"OIL RETORT HOUSE",1,135408,132062
132349,"OIL RIG",1,135408,132062
132350,"OIL SILO",1,135408,132062
132351,"OIL WELL",1,135408,132062
135408,"OIL WORKS",1,135405,132062
202893,"OILCLOTH MILL",1,135438,132062
202714,"OLYMPIC VLLAGE",1,131653,131528
135904,"ONION DRYING SHED",1,135100,134003
135987,"OPEN AIR SCHOOL",1,133423,133422
135674,"OPEN AIR THEATRE",1,133640,133551
135200,"OPEN AIR THEATRE",1,131783,131783
139300,"OPEN AIR WARD BLOCK",1,135138,134482
140620,"OPEN BRETHREN MEETING HOUSE",1,133719,133667
132693,"OPEN CAST MINE",1,132676,132062
134126,"OPEN FIELD",1,134095,134003
143566,"OPEN HALL HOUSE",1,143543,143383
131701,"OPEN HALL HOUSE",1,131655,131528
132373,"OPEN HEARTH FURNACE",1,132363,132062
150523,"OPEN ROPEWALK",1,135446,132062
131703,"OPEN SITE",1,131653,131528
145164,"OPEN TRAINING PRISON",1,133075,133065
186344,"OPENCUT",1,135415,132062
133630,"OPERA HOUSE",1,135326,133551
134554,"OPERATING THEATRE",1,134482,134482
182675,"OPERATIONAL READINESS PLATFORM",1,136816,133297
182144,"OPERATIONS BLOCK",1,139302,133297
204813,"OPERATIONS ROOM",1,139302,133297
191966,"OPPIDUM",1,131625,131528
133072,"OPPIDUM",1,133065,133065
133326,"OPPIDUM",1,133349,133297
131555,"OPPIDUM",1,131653,131528
135813,"OPTICIANS",1,134482,134482
135814,"OPTICIANS",1,133154,133154
192231,"ORANGERY",1,144043,134003
131825,"ORANGERY",1,131820,131783
131967,"ORCHARD",1,131976,131783
134152,"ORCHARD",1,135681,134003
192237,"ORCHARD HOUSE",1,144043,134003
131838,"ORCHARD HOUSE",1,131820,131783
204811,"ORDNANCE DEPOT",1,139312,133297
206752,"ORDNANCE DISPOSAL SITE",1,133297,133297
192001,"ORDNANCE FACTORY",1,143600,143383
132208,"ORDNANCE FACTORY",1,132173,132062
132497,"ORDNANCE FACTORY",1,135382,132062
133381,"ORDNANCE STORE",1,133297,133297
134702,"ORDNANCE STOREKEEPERS HOUSE",1,134691,131528
134751,"ORDNANCE YARD",1,135063,133297
186549,"ORE CHUTE",1,153843,132062
132374,"ORE HEARTH",1,132363,132062
132554,"ORE STORE",1,135410,132062
132538,"ORE WASHING PLANT",1,135413,132062
153843,"ORE WORKS",1,135412,132062
202756,"ORGAN FACTORY",1,191999,143383
132209,"ORGAN FACTORY",1,132205,132062
133494,"ORIENTAL INSTITUTE",1,133480,133422
202870,"ORLIT HUT",1,133065,133065
202869,"ORLIT HUT",1,139302,133297
143260,"ORLIT POST",1,143258,133297
206796,"ORNAMENTAL BATH",1,131783,131783
206795,"ORNAMENTAL BATH",1,134441,134417
178415,"ORNAMENTAL BRIDGE",1,143703,143383
191875,"ORNAMENTAL BRIDGE",1,135240,134198
135934,"ORNAMENTAL BRIDGE",1,131783,131783
135344,"ORNAMENTAL CANAL",1,202809,131783
202813,"ORNAMENTAL CLEARING",1,131783,131783
183680,"ORNAMENTAL CLOCK",1,131783,131783
202945,"ORNAMENTAL FOUNTAIN",1,144747,134417
135751,"ORNAMENTAL FOUNTAIN",1,131995,131783
135589,"ORNAMENTAL GARDEN",1,131898,131783
144104,"ORNAMENTAL LAKE",1,144103,134417
135345,"ORNAMENTAL LAKE",1,132044,131783
134453,"ORNAMENTAL POND",1,134441,134417
135343,"ORNAMENTAL POND",1,131783,131783
133495,"ORPHAN SCHOOL",1,133467,133422
191891,"ORPHANAGE",1,135017,131528
135039,"ORPHANAGE",1,135011,131528
134524,"ORPHANAGE",1,134497,134482
134555,"ORTHODONTICS DEPARTMENT",1,135139,134482
192479,"ORTHODOX CHURCH",1,133683,133667
134556,"ORTHOPAEDIC DEPARTMENT",1,135139,134482
134557,"ORTHOPAEDIC HOSPITAL",1,135140,134482
135207,"OSIER BED",1,134133,134003
133878,"OSSUARY",1,133767,133667
163044,"OUBLIETTE",1,163043,133065
133033,"OUTBUILDING",1,135290,135088
192346,"OUTDOOR PLAYHOUSE",1,133640,133551
