"TH_T_U_UID","TERM","CLA_GR_UID","BROAD_TERM_U_UID","TOP_TERM_U_UID"
182407,"AIRCRAFT HANGAR (TYPE L)",1,182397,133297
182219,"AIRCRAFT HANGAR (TYPE L)",1,134204,134198
185351,"AIRCRAFT HANGAR (TYPE S)",1,182707,133297
185350,"AIRCRAFT HANGAR (TYPE S)",1,182706,134198
182709,"AIRCRAFT HANGAR (TYPE T)",1,182707,133297
182708,"AIRCRAFT HANGAR (TYPE T)",1,182706,134198
182400,"AIRCRAFT HANGAR (TYPE T1)",1,182709,133297
182145,"AIRCRAFT HANGAR (TYPE T1)",1,182708,134198
182139,"AIRCRAFT HANGAR (TYPE T2)",1,182708,134198
182401,"AIRCRAFT HANGAR (TYPE T2)",1,182709,133297
182408,"AIRCRAFT HANGAR (TYPE T3)",1,182709,133297
182240,"AIRCRAFT HANGAR (TYPE T3)",1,182708,134198
182726,"AIRCRAFT HANGAR (TYPE VR1)",1,134204,134198
182727,"AIRCRAFT HANGAR (TYPE VR1)",1,182397,133297
182729,"AIRCRAFT HANGAR (TYPE VR2)",1,182397,133297
182728,"AIRCRAFT HANGAR (TYPE VR2)",1,134204,134198
205337,"AIRCRAFT LEVEL CROSSING",1,134307,134198
185241,"AIRCRAFT MAINTENANCE UNIT",1,132986,132062
185240,"AIRCRAFT MAINTENANCE UNIT",1,135239,134198
136829,"AIRCRAFT OBSTRUCTION",1,136815,133297
136833,"AIRCRAFT OBSTRUCTION",1,133351,133297
135111,"AIRCRAFT OBSTRUCTION",1,136812,133297
182697,"AIRCRAFT PICKETING POINT",1,136816,133297
182698,"AIRCRAFT PICKETING POINT",1,135239,134198
182740,"AIRCRAFT STORAGE FACILITY",1,135239,134198
182396,"AIRCRAFT STORAGE FACILITY",1,136816,133297
186566,"AIRCRAFT TESTING SITE",1,132988,132062
134200,"AIRFIELD",1,135239,134198
185032,"AIRFIELD BUILDING",1,136816,133297
182301,"AIRFIELD CODE LETTERS",1,135195,133272
182300,"AIRFIELD CODE LETTERS",1,136818,133297
182749,"AIRFIELD DEFENCE SITE",1,133297,133297
182100,"AIRFIELD SLEEPING SHELTER",1,136816,133297
